district,year,rate
Leimbach,2041,12.5474
Leimbach,2042,12.5655
Leimbach,2043,12.5837
Leimbach,2044,12.6018
Leimbach,2045,12.6199
Leimbach,2046,12.638
Leimbach,2047,12.6561
Leimbach,2048,12.6742
Leimbach,2049,12.6923
Leimbach,2050,12.7105
Enge,2021,21.7153
Enge,2022,21.726
Enge,2023,21.7366
Enge,2024,21.7472
Enge,2025,21.7578
Enge,2026,21.7684
Enge,2027,21.779
Enge,2028,21.7896
Enge,2029,21.8002
Enge,2030,21.8108
Enge,2031,21.8214
Enge,2032,21.832
Enge,2033,21.8427
Enge,2034,21.8533
Enge,2035,21.8639
Enge,2036,21.8745
Enge,2037,21.8851
Enge,2038,21.8957
Enge,2039,21.9063
Enge,2040,21.9169
Enge,2041,21.9275
Enge,2042,21.9381
Enge,2043,21.9487
Enge,2044,21.9594
Enge,2045,21.97
Enge,2046,21.9806
Enge,2047,21.9912
Enge,2048,22.0018
Enge,2049,22.0124
Enge,2050,22.023
Alt-Wiedikon,2021,20.6983
Alt-Wiedikon,2022,20.6642
Alt-Wiedikon,2023,20.63
Alt-Wiedikon,2024,20.5959
Alt-Wiedikon,2025,20.5618
Alt-Wiedikon,2026,20.5277
Alt-Wiedikon,2027,20.4935
Alt-Wiedikon,2028,20.4594
Alt-Wiedikon,2029,20.4253
Alt-Wiedikon,2030,20.3911
Alt-Wiedikon,2031,20.357
Alt-Wiedikon,2032,20.3229
Alt-Wiedikon,2033,20.2887
Alt-Wiedikon,2034,20.2546
Alt-Wiedikon,2035,20.2205
Alt-Wiedikon,2036,20.1864
Alt-Wiedikon,2037,20.1522
Alt-Wiedikon,2038,20.1181
Alt-Wiedikon,2039,20.084
Alt-Wiedikon,2040,20.0498
Alt-Wiedikon,2041,20.0157
Alt-Wiedikon,2042,19.9816
Alt-Wiedikon,2043,19.9474
Alt-Wiedikon,2044,19.9133
Alt-Wiedikon,2045,19.8792
Alt-Wiedikon,2046,19.8451
Alt-Wiedikon,2047,19.8109
Alt-Wiedikon,2048,19.7768
Alt-Wiedikon,2049,19.7427
Alt-Wiedikon,2050,19.7085
Friesenberg,2021,10.5318
Friesenberg,2022,10.4574
Friesenberg,2023,10.383
Friesenberg,2024,10.3086
Friesenberg,2025,10.2342
Friesenberg,2026,10.1598
Friesenberg,2027,10.0854
Friesenberg,2028,10.0109
Friesenberg,2029,9.9365
Friesenberg,2030,9.8621
Friesenberg,2031,9.7877
Friesenberg,2032,9.7133
Friesenberg,2033,9.6389
Friesenberg,2034,9.5645
Friesenberg,2035,9.49
Friesenberg,2036,9.4156
Friesenberg,2037,9.3412
Friesenberg,2038,9.2668
Friesenberg,2039,9.1952
Friesenberg,2040,9.1294
Friesenberg,2041,9.0692
Friesenberg,2042,9.0148
Friesenberg,2043,8.9661
Friesenberg,2044,8.9231
Friesenberg,2045,8.8859
Friesenberg,2046,8.8544
Friesenberg,2047,8.8286
Friesenberg,2048,8.8085
Friesenberg,2049,8.7942
Friesenberg,2050,8.7856
Sihlfeld,2021,19.0789
Sihlfeld,2022,19.0527
Sihlfeld,2023,19.0265
Sihlfeld,2024,19.0004
Sihlfeld,2025,18.9742
Sihlfeld,2026,18.948
Sihlfeld,2027,18.9218
Sihlfeld,2028,18.8956
Sihlfeld,2029,18.8694
Sihlfeld,2030,18.8432
Sihlfeld,2031,18.817
Sihlfeld,2032,18.7908
Sihlfeld,2033,18.7646
Sihlfeld,2034,18.7384
Sihlfeld,2035,18.7122
Sihlfeld,2036,18.686
Sihlfeld,2037,18.6598
Sihlfeld,2038,18.6336
Sihlfeld,2039,18.6074
Sihlfeld,2040,18.5812
Sihlfeld,2041,18.555
Sihlfeld,2042,18.5288
Sihlfeld,2043,18.5026
Sihlfeld,2044,18.4764
Sihlfeld,2045,18.4502
Sihlfeld,2046,18.424
Sihlfeld,2047,18.3978
Sihlfeld,2048,18.3716
Sihlfeld,2049,18.3454
Sihlfeld,2050,18.3192
Werd,2021,25.9048
Werd,2022,25.8531
Werd,2023,25.8015
