district,year,owner,spa_dyw
Langstrasse,2028,cooperative housing,35.8373
Langstrasse,2028,private housing,40.7966
Langstrasse,2029,cooperative housing,35.804
Langstrasse,2029,private housing,40.8766
Langstrasse,2030,cooperative housing,35.7707
Langstrasse,2030,private housing,40.9566
Langstrasse,2031,cooperative housing,35.7374
Langstrasse,2031,private housing,41.0366
Langstrasse,2032,cooperative housing,35.7041
Langstrasse,2032,private housing,41.1166
Langstrasse,2033,cooperative housing,35.6708
Langstrasse,2033,private housing,41.1966
Langstrasse,2034,cooperative housing,35.6375
Langstrasse,2034,private housing,41.2766
Langstrasse,2035,cooperative housing,35.6041
Langstrasse,2035,private housing,41.3566
Langstrasse,2036,cooperative housing,35.5708
Langstrasse,2036,private housing,41.4366
Langstrasse,2037,cooperative housing,35.5375
Langstrasse,2037,private housing,41.5166
Langstrasse,2038,cooperative housing,35.5042
Langstrasse,2038,private housing,41.5966
Langstrasse,2039,cooperative housing,35.4709
Langstrasse,2039,private housing,41.6766
Langstrasse,2040,cooperative housing,35.4376
Langstrasse,2040,private housing,41.7566
Langstrasse,2041,cooperative housing,35.4043
Langstrasse,2041,private housing,41.8366
Langstrasse,2042,cooperative housing,35.3709
Langstrasse,2042,private housing,41.9166
Langstrasse,2043,cooperative housing,35.3376
Langstrasse,2043,private housing,41.9966
Langstrasse,2044,cooperative housing,35.3043
Langstrasse,2044,private housing,42.0766
Langstrasse,2045,cooperative housing,35.271
Langstrasse,2045,private housing,42.1566
Langstrasse,2046,cooperative housing,35.2377
Langstrasse,2046,private housing,42.2366
Langstrasse,2047,cooperative housing,35.2044
Langstrasse,2047,private housing,42.3166
Langstrasse,2048,cooperative housing,35.1711
Langstrasse,2048,private housing,42.3966
Langstrasse,2049,cooperative housing,35.1377
Langstrasse,2049,private housing,42.4766
Langstrasse,2050,cooperative housing,35.1044
Langstrasse,2050,private housing,42.5566
Hard,2021,cooperative housing,33.4069
Hard,2021,private housing,37.3778
Hard,2022,cooperative housing,33.3855
Hard,2022,private housing,37.468
Hard,2023,cooperative housing,33.3641
Hard,2023,private housing,37.5582
Hard,2024,cooperative housing,33.3427
Hard,2024,private housing,37.6484
Hard,2025,cooperative housing,33.3213
Hard,2025,private housing,37.7386
Hard,2026,cooperative housing,33.2999
Hard,2026,private housing,37.8288
Hard,2027,cooperative housing,33.2785
Hard,2027,private housing,37.919
Hard,2028,cooperative housing,33.2571
Hard,2028,private housing,38.0092
Hard,2029,cooperative housing,33.2357
Hard,2029,private housing,38.0994
Hard,2030,cooperative housing,33.2143
Hard,2030,private housing,38.1896
Hard,2031,cooperative housing,33.1929
Hard,2031,private housing,38.2798
Hard,2032,cooperative housing,33.1715
Hard,2032,private housing,38.37
Hard,2033,cooperative housing,33.1502
Hard,2033,private housing,38.4602
Hard,2034,cooperative housing,33.1288
Hard,2034,private housing,38.5504
Hard,2035,cooperative housing,33.1074
Hard,2035,private housing,38.6406
Hard,2036,cooperative housing,33.086
Hard,2036,private housing,38.7308
Hard,2037,cooperative housing,33.0646
Hard,2037,private housing,38.821
Hard,2038,cooperative housing,33.0432
Hard,2038,private housing,38.9112
Hard,2039,cooperative housing,33.0218
Hard,2039,private housing,39.0014
Hard,2040,cooperative housing,33.0004
Hard,2040,private housing,39.0916
Hard,2041,cooperative housing,32.979
Hard,2041,private housing,39.1818
Hard,2042,cooperative housing,32.9576
Hard,2042,private housing,39.272
Hard,2043,cooperative housing,32.9362
Hard,2043,private housing,39.3622
Hard,2044,cooperative housing,32.9148
Hard,2044,private housing,39.4524
Hard,2045,cooperative housing,32.8934
Hard,2045,private housing,39.5426
Hard,2046,cooperative housing,32.872
Hard,2046,private housing,39.6328
Hard,2047,cooperative housing,32.8506
Hard,2047,private housing,39.723
Hard,2048,cooperative housing,32.8292
Hard,2048,private housing,39.8132
Hard,2049,cooperative housing,32.8078
Hard,2049,private housing,39.9034
Hard,2050,cooperative housing,32.7864
Hard,2050,private housing,39.9936
Gewerbeschule,2021,cooperative housing,34.1582
Gewerbeschule,2021,private housing,39.6746
Gewerbeschule,2022,cooperative housing,34.1954
Gewerbeschule,2022,private housing,39.7379
Gewerbeschule,2023,cooperative housing,34.2327
Gewerbeschule,2023,private housing,39.8013
Gewerbeschule,2024,cooperative housing,34.2699
Gewerbeschule,2024,private housing,39.8646
Gewerbeschule,2025,cooperative housing,34.3072
Gewerbeschule,2025,private housing,39.9279
Gewerbeschule,2026,cooperative housing,34.3444
Gewerbeschule,2026,private housing,39.9912
Gewerbeschule,2027,cooperative housing,34.3816
Gewerbeschule,2027,private housing,40.0546
Gewerbeschule,2028,cooperative housing,34.4189
Gewerbeschule,2028,private housing,40.1179
Gewerbeschule,2029,cooperative housing,34.4561
