district,year,sex,origin,prop
Leimbach,2035,male,Swiss,22.7204
Leimbach,2035,male,foreign,29.5263
Leimbach,2035,female,Swiss,25.2441
Leimbach,2035,female,foreign,22.5092
Leimbach,2036,male,Swiss,22.55
Leimbach,2036,male,foreign,29.6817
Leimbach,2036,female,Swiss,25.1321
Leimbach,2036,female,foreign,22.6362
Leimbach,2037,male,Swiss,22.3797
Leimbach,2037,male,foreign,29.837
Leimbach,2037,female,Swiss,25.0201
Leimbach,2037,female,foreign,22.7632
Leimbach,2038,male,Swiss,22.2093
Leimbach,2038,male,foreign,29.9924
Leimbach,2038,female,Swiss,24.9081
Leimbach,2038,female,foreign,22.8902
Leimbach,2039,male,Swiss,22.0389
Leimbach,2039,male,foreign,30.1478
Leimbach,2039,female,Swiss,24.7961
Leimbach,2039,female,foreign,23.0172
Leimbach,2040,male,Swiss,21.8719
Leimbach,2040,male,foreign,30.3019
Leimbach,2040,female,Swiss,24.683
Leimbach,2040,female,foreign,23.1432
Leimbach,2041,male,Swiss,21.7164
Leimbach,2041,male,foreign,30.4536
Leimbach,2041,female,Swiss,24.568
Leimbach,2041,female,foreign,23.262
Leimbach,2042,male,Swiss,21.5732
Leimbach,2042,male,foreign,30.6042
Leimbach,2042,female,Swiss,24.4523
Leimbach,2042,female,foreign,23.3703
Leimbach,2043,male,Swiss,21.4425
Leimbach,2043,male,foreign,30.7538
Leimbach,2043,female,Swiss,24.3358
Leimbach,2043,female,foreign,23.4679
Leimbach,2044,male,Swiss,21.3267
Leimbach,2044,male,foreign,30.8941
Leimbach,2044,female,Swiss,24.2214
Leimbach,2044,female,foreign,23.5578
Leimbach,2045,male,Swiss,21.2259
Leimbach,2045,male,foreign,31.0251
Leimbach,2045,female,Swiss,24.1091
Leimbach,2045,female,foreign,23.6399
Leimbach,2046,male,Swiss,21.14
Leimbach,2046,male,foreign,31.1468
Leimbach,2046,female,Swiss,23.9988
Leimbach,2046,female,foreign,23.7143
Leimbach,2047,male,Swiss,21.069
Leimbach,2047,male,foreign,31.2593
Leimbach,2047,female,Swiss,23.8906
Leimbach,2047,female,foreign,23.781
Leimbach,2048,male,Swiss,21.0129
Leimbach,2048,male,foreign,31.3626
Leimbach,2048,female,Swiss,23.7845
Leimbach,2048,female,foreign,23.84
Leimbach,2049,male,Swiss,20.9717
Leimbach,2049,male,foreign,31.4567
Leimbach,2049,female,Swiss,23.6803
Leimbach,2049,female,foreign,23.8913
Leimbach,2050,male,Swiss,20.9454
Leimbach,2050,male,foreign,31.5416
Leimbach,2050,female,Swiss,23.578
Leimbach,2050,female,foreign,23.935
Enge,2021,male,Swiss,22.3052
Enge,2021,male,foreign,30.133
Enge,2021,female,Swiss,21.846800000000002
Enge,2021,female,foreign,25.715
Enge,2022,male,Swiss,22.2025
Enge,2022,male,foreign,30.1924
Enge,2022,female,Swiss,21.765
Enge,2022,female,foreign,25.8401
