district,year,sex,origin,prop
Enge,2029,male,Swiss,18.9638
Enge,2029,male,foreign,32.9939
Enge,2029,female,Swiss,19.2365
Enge,2029,female,foreign,28.8057
Enge,2030,male,Swiss,18.8961
Enge,2030,male,foreign,33.0421
Enge,2030,female,Swiss,19.179
Enge,2030,female,foreign,28.8828
Enge,2031,male,Swiss,18.8284
Enge,2031,male,foreign,33.0903
Enge,2031,female,Swiss,19.1214
Enge,2031,female,foreign,28.9599
Enge,2032,male,Swiss,18.7607
Enge,2032,male,foreign,33.1385
Enge,2032,female,Swiss,19.0639
Enge,2032,female,foreign,29.037
Enge,2033,male,Swiss,18.6929
Enge,2033,male,foreign,33.1866
Enge,2033,female,Swiss,19.0063
Enge,2033,female,foreign,29.1141
Enge,2034,male,Swiss,18.6252
Enge,2034,male,foreign,33.2348
Enge,2034,female,Swiss,18.9487
Enge,2034,female,foreign,29.1912
Enge,2035,male,Swiss,18.5575
Enge,2035,male,foreign,33.283
Enge,2035,female,Swiss,18.8912
Enge,2035,female,foreign,29.2683
Enge,2036,male,Swiss,18.4898
Enge,2036,male,foreign,33.3312
Enge,2036,female,Swiss,18.8336
Enge,2036,female,foreign,29.3454
Enge,2037,male,Swiss,18.4221
Enge,2037,male,foreign,33.3794
Enge,2037,female,Swiss,18.7761
Enge,2037,female,foreign,29.4225
Enge,2038,male,Swiss,18.3543
Enge,2038,male,foreign,33.4275
Enge,2038,female,Swiss,18.7185
Enge,2038,female,foreign,29.4996
Enge,2039,male,Swiss,18.2866
Enge,2039,male,foreign,33.4757
Enge,2039,female,Swiss,18.6609
Enge,2039,female,foreign,29.5767
Enge,2040,male,Swiss,18.2189
Enge,2040,male,foreign,33.5239
Enge,2040,female,Swiss,18.6034
Enge,2040,female,foreign,29.6538
Enge,2041,male,Swiss,18.1512
Enge,2041,male,foreign,33.5721
Enge,2041,female,Swiss,18.5458
Enge,2041,female,foreign,29.731
Enge,2042,male,Swiss,18.0834
Enge,2042,male,foreign,33.6202
Enge,2042,female,Swiss,18.4883
Enge,2042,female,foreign,29.8081
Enge,2043,male,Swiss,18.0157
Enge,2043,male,foreign,33.6684
Enge,2043,female,Swiss,18.4307
Enge,2043,female,foreign,29.8852
Enge,2044,male,Swiss,17.948
Enge,2044,male,foreign,33.7166
Enge,2044,female,Swiss,18.3731
Enge,2044,female,foreign,29.9623
Enge,2045,male,Swiss,17.8803
Enge,2045,male,foreign,33.7648
Enge,2045,female,Swiss,18.3156
Enge,2045,female,foreign,30.0394
Enge,2046,male,Swiss,17.8126
Enge,2046,male,foreign,33.813
Enge,2046,female,Swiss,18.258
Enge,2046,female,foreign,30.1165
Enge,2047,male,Swiss,17.7448
Enge,2047,male,foreign,33.8611
Enge,2047,female,Swiss,18.2005
Enge,2047,female,foreign,30.1936
Enge,2048,male,Swiss,17.6771
Enge,2048,male,foreign,33.9093
Enge,2048,female,Swiss,18.1429
Enge,2048,female,foreign,30.2707
Enge,2049,male,Swiss,17.6094
Enge,2049,male,foreign,33.9575
Enge,2049,female,Swiss,18.0853
Enge,2049,female,foreign,30.3478
Enge,2050,male,Swiss,17.5417
Enge,2050,male,foreign,34.0057
Enge,2050,female,Swiss,18.0278
Enge,2050,female,foreign,30.4249
Alt-Wiedikon,2021,male,Swiss,20.4331
Alt-Wiedikon,2021,male,foreign,33.4334
Alt-Wiedikon,2021,female,Swiss,20.9533
Alt-Wiedikon,2021,female,foreign,25.1801
Alt-Wiedikon,2022,male,Swiss,20.3367
Alt-Wiedikon,2022,male,foreign,33.486
Alt-Wiedikon,2022,female,Swiss,20.9107
Alt-Wiedikon,2022,female,foreign,25.2666
Alt-Wiedikon,2023,male,Swiss,20.2403
Alt-Wiedikon,2023,male,foreign,33.5386
Alt-Wiedikon,2023,female,Swiss,20.8681
Alt-Wiedikon,2023,female,foreign,25.353
Alt-Wiedikon,2024,male,Swiss,20.1438
Alt-Wiedikon,2024,male,foreign,33.5912
Alt-Wiedikon,2024,female,Swiss,20.8255
Alt-Wiedikon,2024,female,foreign,25.4395
Alt-Wiedikon,2025,male,Swiss,20.0474
Alt-Wiedikon,2025,male,foreign,33.6438
Alt-Wiedikon,2025,female,Swiss,20.7829
Alt-Wiedikon,2025,female,foreign,25.5259
Alt-Wiedikon,2026,male,Swiss,19.951
Alt-Wiedikon,2026,male,foreign,33.6964
Alt-Wiedikon,2026,female,Swiss,20.7403
Alt-Wiedikon,2026,female,foreign,25.6124
Alt-Wiedikon,2027,male,Swiss,19.8546
Alt-Wiedikon,2027,male,foreign,33.749
Alt-Wiedikon,2027,female,Swiss,20.6976
Alt-Wiedikon,2027,female,foreign,25.6988
Alt-Wiedikon,2028,male,Swiss,19.7581
Alt-Wiedikon,2028,male,foreign,33.8016
Alt-Wiedikon,2028,female,Swiss,20.655
Alt-Wiedikon,2028,female,foreign,25.7853
Alt-Wiedikon,2029,male,Swiss,19.6617
Alt-Wiedikon,2029,male,foreign,33.8541
Alt-Wiedikon,2029,female,Swiss,20.6124
Alt-Wiedikon,2029,female,foreign,25.8717
Alt-Wiedikon,2030,male,Swiss,19.5653
Alt-Wiedikon,2030,male,foreign,33.9067
Alt-Wiedikon,2030,female,Swiss,20.5698
Alt-Wiedikon,2030,female,foreign,25.9582
Alt-Wiedikon,2031,male,Swiss,19.4688
Alt-Wiedikon,2031,male,foreign,33.9593
Alt-Wiedikon,2031,female,Swiss,20.5272
Alt-Wiedikon,2031,female,foreign,26.0447
Alt-Wiedikon,2032,male,Swiss,19.3724
Alt-Wiedikon,2032,male,foreign,34.0119
Alt-Wiedikon,2032,female,Swiss,20.4846
Alt-Wiedikon,2032,female,foreign,26.1311
Alt-Wiedikon,2033,male,Swiss,19.276
Alt-Wiedikon,2033,male,foreign,34.0645
Alt-Wiedikon,2033,female,Swiss,20.4419
Alt-Wiedikon,2033,female,foreign,26.2176
Alt-Wiedikon,2034,male,Swiss,19.1796
Alt-Wiedikon,2034,male,foreign,34.1171
Alt-Wiedikon,2034,female,Swiss,20.3993
Alt-Wiedikon,2034,female,foreign,26.304
Alt-Wiedikon,2035,male,Swiss,19.0831
Alt-Wiedikon,2035,male,foreign,34.1697
Alt-Wiedikon,2035,female,Swiss,20.3567
Alt-Wiedikon,2035,female,foreign,26.3905
Alt-Wiedikon,2036,male,Swiss,18.9867
Alt-Wiedikon,2036,male,foreign,34.2223
Alt-Wiedikon,2036,female,Swiss,20.3141
Alt-Wiedikon,2036,female,foreign,26.4769
Alt-Wiedikon,2037,male,Swiss,18.8903
Alt-Wiedikon,2037,male,foreign,34.2749
Alt-Wiedikon,2037,female,Swiss,20.2715
Alt-Wiedikon,2037,female,foreign,26.5634
Alt-Wiedikon,2038,male,Swiss,18.7939
Alt-Wiedikon,2038,male,foreign,34.3275
Alt-Wiedikon,2038,female,Swiss,20.2289
