district,year,owner,indicator,apartments
Friesenberg,2024,cooperative housing,removed,85.03246745897934
Friesenberg,2024,private housing,new,0.0013258313213043466
Friesenberg,2024,private housing,removed,0
Friesenberg,2025,cooperative housing,new,100.04703041804488
Friesenberg,2025,cooperative housing,removed,66.09965418661236
Friesenberg,2025,private housing,new,46.04653288253021
Friesenberg,2025,private housing,removed,0
Friesenberg,2026,cooperative housing,new,4.028664531295067
Friesenberg,2026,cooperative housing,removed,2.6617221840418925
Friesenberg,2026,private housing,new,1.8769581658543717
Friesenberg,2026,private housing,removed,0
Friesenberg,2027,cooperative housing,new,0.1606687983923846
Friesenberg,2027,cooperative housing,removed,0.10615617036639696
Friesenberg,2027,private housing,new,0.07650895161542123
Friesenberg,2027,private housing,removed,0
Friesenberg,2028,cooperative housing,new,0
Friesenberg,2028,cooperative housing,removed,0
Friesenberg,2028,private housing,new,0
Friesenberg,2028,private housing,removed,0
Friesenberg,2029,cooperative housing,new,0
Friesenberg,2029,cooperative housing,removed,0
Friesenberg,2029,private housing,new,0
Friesenberg,2029,private housing,removed,0
Friesenberg,2030,cooperative housing,new,0
Friesenberg,2030,cooperative housing,removed,0
Friesenberg,2030,private housing,new,0
Friesenberg,2030,private housing,removed,0
Friesenberg,2031,cooperative housing,new,0
Friesenberg,2031,cooperative housing,removed,0
Friesenberg,2031,private housing,new,0
Friesenberg,2031,private housing,removed,0
Friesenberg,2032,cooperative housing,new,0
Friesenberg,2032,cooperative housing,removed,0
Friesenberg,2032,private housing,new,0
Friesenberg,2032,private housing,removed,0
Friesenberg,2033,cooperative housing,new,0
Friesenberg,2033,cooperative housing,removed,0
Friesenberg,2033,private housing,new,0
Friesenberg,2033,private housing,removed,0
Sihlfeld,2021,cooperative housing,new,0
Sihlfeld,2021,cooperative housing,removed,0
Sihlfeld,2021,private housing,new,40.72375663052912
Sihlfeld,2021,private housing,removed,0
Sihlfeld,2022,cooperative housing,new,0
Sihlfeld,2022,cooperative housing,removed,0
Sihlfeld,2022,private housing,new,45.788356818390056
Sihlfeld,2022,private housing,removed,0
Sihlfeld,2023,cooperative housing,new,15.73490881485587
Sihlfeld,2023,cooperative housing,removed,0
Sihlfeld,2023,private housing,new,0.48280419768249067
Sihlfeld,2023,private housing,removed,0
Sihlfeld,2024,cooperative housing,new,131.7542759161299
Sihlfeld,2024,cooperative housing,removed,142.88961026611992
Sihlfeld,2024,private housing,new,29.22586154892388
Sihlfeld,2024,private housing,removed,13.636363624578589
Sihlfeld,2025,cooperative housing,new,3.4219863067684226
Sihlfeld,2025,cooperative housing,removed,3.713862261572969
Sihlfeld,2025,private housing,new,51.21880665219251
Sihlfeld,2025,private housing,removed,62.70910442813335
Sihlfeld,2026,cooperative housing,new,628.731901330202
Sihlfeld,2026,cooperative housing,removed,216.66659395831886
Sihlfeld,2026,private housing,new,2.0765730928033714
Sihlfeld,2026,private housing,removed,2.550926075308841
Sihlfeld,2027,cooperative housing,new,40.18780707890151
Sihlfeld,2027,cooperative housing,removed,13.844861151846766
Sihlfeld,2027,private housing,new,0.08384105947856578
Sihlfeld,2027,private housing,removed,0.10360587197921627
Sihlfeld,2028,cooperative housing,new,2.5691205531422474
Sihlfeld,2028,cooperative housing,removed,0.8850723621414981
Sihlfeld,2028,private housing,new,0
Sihlfeld,2028,private housing,removed,0
Sihlfeld,2029,cooperative housing,new,0
Sihlfeld,2029,cooperative housing,removed,0
Sihlfeld,2029,private housing,new,0
Sihlfeld,2029,private housing,removed,0
Sihlfeld,2030,cooperative housing,new,0
Sihlfeld,2030,cooperative housing,removed,0
Sihlfeld,2030,private housing,new,0
Sihlfeld,2030,private housing,removed,0
Sihlfeld,2031,cooperative housing,new,0
Sihlfeld,2031,cooperative housing,removed,0
Sihlfeld,2031,private housing,new,0
