district,year,origin,cha
Alt-Wiedikon,2043,foreign,32.3276
Alt-Wiedikon,2044,Swiss,0
Alt-Wiedikon,2044,foreign,32.3359
Alt-Wiedikon,2045,Swiss,0
Alt-Wiedikon,2045,foreign,32.3442
Alt-Wiedikon,2046,Swiss,0
Alt-Wiedikon,2046,foreign,32.3525
Alt-Wiedikon,2047,Swiss,0
Alt-Wiedikon,2047,foreign,32.3608
Alt-Wiedikon,2048,Swiss,0
Alt-Wiedikon,2048,foreign,32.3691
Alt-Wiedikon,2049,Swiss,0
Alt-Wiedikon,2049,foreign,32.3774
Alt-Wiedikon,2050,Swiss,0
Alt-Wiedikon,2050,foreign,32.3857
Friesenberg,2021,Swiss,0
Friesenberg,2021,foreign,35.4258
Friesenberg,2022,Swiss,0
Friesenberg,2022,foreign,35.3423
Friesenberg,2023,Swiss,0
Friesenberg,2023,foreign,35.2587
Friesenberg,2024,Swiss,0
Friesenberg,2024,foreign,35.1752
Friesenberg,2025,Swiss,0
Friesenberg,2025,foreign,35.0916
Friesenberg,2026,Swiss,0
Friesenberg,2026,foreign,35.0081
Friesenberg,2027,Swiss,0
Friesenberg,2027,foreign,34.9245
Friesenberg,2028,Swiss,0
Friesenberg,2028,foreign,34.841
Friesenberg,2029,Swiss,0
Friesenberg,2029,foreign,34.7574
Friesenberg,2030,Swiss,0
Friesenberg,2030,foreign,34.6739
Friesenberg,2031,Swiss,0
Friesenberg,2031,foreign,34.5903
Friesenberg,2032,Swiss,0
Friesenberg,2032,foreign,34.5068
Friesenberg,2033,Swiss,0
Friesenberg,2033,foreign,34.4233
Friesenberg,2034,Swiss,0
Friesenberg,2034,foreign,34.3397
Friesenberg,2035,Swiss,0
Friesenberg,2035,foreign,34.2562
Friesenberg,2036,Swiss,0
Friesenberg,2036,foreign,34.1726
Friesenberg,2037,Swiss,0
Friesenberg,2037,foreign,34.0891
Friesenberg,2038,Swiss,0
Friesenberg,2038,foreign,34.0055
Friesenberg,2039,Swiss,0
Friesenberg,2039,foreign,33.922
Friesenberg,2040,Swiss,0
Friesenberg,2040,foreign,33.8384
Friesenberg,2041,Swiss,0
Friesenberg,2041,foreign,33.7549
Friesenberg,2042,Swiss,0
Friesenberg,2042,foreign,33.6713
Friesenberg,2043,Swiss,0
Friesenberg,2043,foreign,33.5878
Friesenberg,2044,Swiss,0
Friesenberg,2044,foreign,33.5042
Friesenberg,2045,Swiss,0
Friesenberg,2045,foreign,33.4207
Friesenberg,2046,Swiss,0
Friesenberg,2046,foreign,33.3371
Friesenberg,2047,Swiss,0
Friesenberg,2047,foreign,33.2536
Friesenberg,2048,Swiss,0
Friesenberg,2048,foreign,33.17
Friesenberg,2049,Swiss,0
Friesenberg,2049,foreign,33.0865
Friesenberg,2050,Swiss,0
Friesenberg,2050,foreign,33.003
Sihlfeld,2021,Swiss,0
Sihlfeld,2021,foreign,35.3437
Sihlfeld,2022,Swiss,0
Sihlfeld,2022,foreign,35.4462
Sihlfeld,2023,Swiss,0
Sihlfeld,2023,foreign,35.5487
Sihlfeld,2024,Swiss,0
Sihlfeld,2024,foreign,35.6512
Sihlfeld,2025,Swiss,0
Sihlfeld,2025,foreign,35.7537
Sihlfeld,2026,Swiss,0
Sihlfeld,2026,foreign,35.8562
Sihlfeld,2027,Swiss,0
Sihlfeld,2027,foreign,35.9587
Sihlfeld,2028,Swiss,0
Sihlfeld,2028,foreign,36.0612
Sihlfeld,2029,Swiss,0
Sihlfeld,2029,foreign,36.1637
Sihlfeld,2030,Swiss,0
Sihlfeld,2030,foreign,36.2662
Sihlfeld,2031,Swiss,0
Sihlfeld,2031,foreign,36.3687
Sihlfeld,2032,Swiss,0
Sihlfeld,2032,foreign,36.4712
Sihlfeld,2033,Swiss,0
Sihlfeld,2033,foreign,36.5738
Sihlfeld,2034,Swiss,0
Sihlfeld,2034,foreign,36.6763
Sihlfeld,2035,Swiss,0
Sihlfeld,2035,foreign,36.7788
Sihlfeld,2036,Swiss,0
Sihlfeld,2036,foreign,36.8813
Sihlfeld,2037,Swiss,0
Sihlfeld,2037,foreign,36.9838
Sihlfeld,2038,Swiss,0
Sihlfeld,2038,foreign,37.0863
Sihlfeld,2039,Swiss,0
Sihlfeld,2039,foreign,37.1888
Sihlfeld,2040,Swiss,0
Sihlfeld,2040,foreign,37.2913
Sihlfeld,2041,Swiss,0
Sihlfeld,2041,foreign,37.3938
Sihlfeld,2042,Swiss,0
Sihlfeld,2042,foreign,37.4963
Sihlfeld,2043,Swiss,0
Sihlfeld,2043,foreign,37.5988
Sihlfeld,2044,Swiss,0
Sihlfeld,2044,foreign,37.7013
Sihlfeld,2045,Swiss,0
Sihlfeld,2045,foreign,37.8038
Sihlfeld,2046,Swiss,0
Sihlfeld,2046,foreign,37.9063
Sihlfeld,2047,Swiss,0
Sihlfeld,2047,foreign,38.0088
Sihlfeld,2048,Swiss,0
Sihlfeld,2048,foreign,38.1113
Sihlfeld,2049,Swiss,0
Sihlfeld,2049,foreign,38.2138
Sihlfeld,2050,Swiss,0
Sihlfeld,2050,foreign,38.3163
Werd,2021,Swiss,0
Werd,2021,foreign,36.0728
Werd,2022,Swiss,0
Werd,2022,foreign,36.224
Werd,2023,Swiss,0
Werd,2023,foreign,36.3752
Werd,2024,Swiss,0
Werd,2024,foreign,36.5265
Werd,2025,Swiss,0
Werd,2025,foreign,36.6777
Werd,2026,Swiss,0
Werd,2026,foreign,36.8289
Werd,2027,Swiss,0
Werd,2027,foreign,36.9802
Werd,2028,Swiss,0
Werd,2028,foreign,37.1314
Werd,2029,Swiss,0
Werd,2029,foreign,37.2826
Werd,2030,Swiss,0
Werd,2030,foreign,37.4339
Werd,2031,Swiss,0
Werd,2031,foreign,37.5851
Werd,2032,Swiss,0
Werd,2032,foreign,37.7363
Werd,2033,Swiss,0
Werd,2033,foreign,37.8876
Werd,2034,Swiss,0
Werd,2034,foreign,38.0388
Werd,2035,Swiss,0
Werd,2035,foreign,38.19
Werd,2036,Swiss,0
Werd,2036,foreign,38.3412
Werd,2037,Swiss,0
Werd,2037,foreign,38.4925
Werd,2038,Swiss,0
Werd,2038,foreign,38.6437
Werd,2039,Swiss,0
Werd,2039,foreign,38.7949
Werd,2040,Swiss,0
Werd,2040,foreign,38.9462
Werd,2041,Swiss,0
Werd,2041,foreign,39.0974
Werd,2042,Swiss,0
Werd,2042,foreign,39.2486
Werd,2043,Swiss,0
Werd,2043,foreign,39.3999
Werd,2044,Swiss,0
Werd,2044,foreign,39.5511
Werd,2045,Swiss,0
Werd,2045,foreign,39.7023
Werd,2046,Swiss,0
Werd,2046,foreign,39.8536
Werd,2047,Swiss,0
Werd,2047,foreign,40.0048
Werd,2048,Swiss,0
Werd,2048,foreign,40.156
Werd,2049,Swiss,0
Werd,2049,foreign,40.3073
Werd,2050,Swiss,0
Werd,2050,foreign,40.4585
Langstrasse,2021,Swiss,0
Langstrasse,2021,foreign,33.8574
Langstrasse,2022,Swiss,0
Langstrasse,2022,foreign,33.9221
Langstrasse,2023,Swiss,0
Langstrasse,2023,foreign,33.9869
Langstrasse,2024,Swiss,0
Langstrasse,2024,foreign,34.0517
Langstrasse,2025,Swiss,0
Langstrasse,2025,foreign,34.1165
Langstrasse,2026,Swiss,0
Langstrasse,2026,foreign,34.1813
Langstrasse,2027,Swiss,0
Langstrasse,2027,foreign,34.2461
Langstrasse,2028,Swiss,0
Langstrasse,2028,foreign,34.3109
Langstrasse,2029,Swiss,0
Langstrasse,2029,foreign,34.3757
Langstrasse,2030,Swiss,0
Langstrasse,2030,foreign,34.4405
Langstrasse,2031,Swiss,0
Langstrasse,2031,foreign,34.5053
Langstrasse,2032,Swiss,0
Langstrasse,2032,foreign,34.57
Langstrasse,2033,Swiss,0
Langstrasse,2033,foreign,34.6348
Langstrasse,2034,Swiss,0
Langstrasse,2034,foreign,34.6996
Langstrasse,2035,Swiss,0
Langstrasse,2035,foreign,34.7644
Langstrasse,2036,Swiss,0
Langstrasse,2036,foreign,34.8292
Langstrasse,2037,Swiss,0
Langstrasse,2037,foreign,34.894
Langstrasse,2038,Swiss,0
Langstrasse,2038,foreign,34.9588
Langstrasse,2039,Swiss,0
Langstrasse,2039,foreign,35.0236
