district,year,pop
Leimbach,2022,6584.389215392768
Leimbach,2023,6763.755607599191
Leimbach,2024,6772.653065805569
Leimbach,2025,6778.70158880215
Leimbach,2026,6787.138186692754
Leimbach,2027,6835.7117630600515
Leimbach,2028,6882.7691719946215
Leimbach,2029,6928.354874053984
Leimbach,2030,6972.54687530679
Leimbach,2031,7015.379425225313
Leimbach,2032,7056.921755619038
Leimbach,2033,7097.205719141042
Leimbach,2034,7136.275167821837
Leimbach,2035,7174.180894412284
Leimbach,2036,7210.970602053597
Leimbach,2037,7246.684156414418
Leimbach,2038,7281.357743019337
Leimbach,2039,7315.036895146136
Leimbach,2040,7347.754012883039
Leimbach,2041,7379.551961944814
Leimbach,2042,7410.44772304359
Leimbach,2043,7440.483404747291
Leimbach,2044,7469.697170049671
Leimbach,2045,7498.118846339175
Leimbach,2046,7525.777094947507
Leimbach,2047,7552.691720689464
Leimbach,2048,7578.897101396384
Leimbach,2049,7604.424351756462
Leimbach,2050,7629.298819115067
Enge,2008,8552
Enge,2009,8668
Enge,2010,8597
Enge,2011,8684
Enge,2012,8702
Enge,2013,8836
Enge,2014,9083
Enge,2015,9257
Enge,2016,9422
Enge,2017,9489
Enge,2018,9634
Enge,2019,9658
Enge,2020,9655
Enge,2021,9746.477302071184
Enge,2022,9834.447884016196
Enge,2023,10120.674001740565
Enge,2024,10197.594580225734
Enge,2025,10225.067868536427
Enge,2026,10234.417502775997
Enge,2027,10242.74264299965
Enge,2028,10254.094358245708
Enge,2029,10322.579210835569
Enge,2030,10388.446618919912
Enge,2031,10451.801121308139
Enge,2032,10512.726596151264
Enge,2033,10571.321698928303
Enge,2034,10627.65645330087
Enge,2035,10681.825043928768
Enge,2036,10733.919909098147
Enge,2037,10784.027529085179
Enge,2038,10832.210482634593
Enge,2039,10878.54808885725
Enge,2040,10923.109962157678
Enge,2041,10965.95426641321
Enge,2042,11007.170293507106
Enge,2043,11046.79615440885
Enge,2044,11084.899027914746
Enge,2045,11121.534841347373
Enge,2046,11156.777862481262
Enge,2047,11190.668253843234
Enge,2048,11223.268326247331
Enge,2049,11254.611115136966
Enge,2050,11284.756891336585
Alt-Wiedikon,2008,15727
Alt-Wiedikon,2009,15504
Alt-Wiedikon,2010,15988
Alt-Wiedikon,2011,16014
Alt-Wiedikon,2012,16109
Alt-Wiedikon,2013,16706
Alt-Wiedikon,2014,16918
Alt-Wiedikon,2015,17158
Alt-Wiedikon,2016,17321
Alt-Wiedikon,2017,17522
Alt-Wiedikon,2018,17956
Alt-Wiedikon,2019,17874
Alt-Wiedikon,2020,17764
Alt-Wiedikon,2021,17891.264423076278
Alt-Wiedikon,2022,18026.341923010576
Alt-Wiedikon,2023,18705.166263182284
Alt-Wiedikon,2024,18737.53230613178
Alt-Wiedikon,2025,18795.56985211004
Alt-Wiedikon,2026,19153.76044187694
Alt-Wiedikon,2027,19184.446662342772
Alt-Wiedikon,2028,19193.890308778038
Alt-Wiedikon,2029,19201.595738076885
Alt-Wiedikon,2030,19208.970293092858
Alt-Wiedikon,2031,19216.053551811376
Alt-Wiedikon,2032,19222.823166564478
Alt-Wiedikon,2033,19229.32645950435
Alt-Wiedikon,2034,19235.562040638244
Alt-Wiedikon,2035,19241.514940446974
Alt-Wiedikon,2036,19247.237162160724
Alt-Wiedikon,2037,19252.69832490955
Alt-Wiedikon,2038,19257.941536982144
Alt-Wiedikon,2039,19262.951263892395
Alt-Wiedikon,2040,19267.757485080747
Alt-Wiedikon,2041,19272.34116740958
Alt-Wiedikon,2042,19276.745944484413
Alt-Wiedikon,2043,19280.95665506018
Alt-Wiedikon,2044,19338.4053236477
Alt-Wiedikon,2045,19405.311828169277
Alt-Wiedikon,2046,19469.64302544542
Alt-Wiedikon,2047,19531.53266766823
Alt-Wiedikon,2048,19591.04145442702
Alt-Wiedikon,2049,19648.290557890774
Alt-Wiedikon,2050,19703.3486296357
Friesenberg,2008,10325
Friesenberg,2009,11003
Friesenberg,2010,10596
Friesenberg,2011,10622
Friesenberg,2012,10986
Friesenberg,2013,10696
Friesenberg,2014,10695
Friesenberg,2015,10698
Friesenberg,2016,11002
Friesenberg,2017,10860.000000000002
Friesenberg,2018,10933
Friesenberg,2019,11107
Friesenberg,2020,11071
Friesenberg,2021,11278.026915057491
Friesenberg,2022,11448.281718429831
Friesenberg,2023,11626.181445417948
Friesenberg,2024,11797.032096780644
Friesenberg,2025,12009.797736294799
Friesenberg,2026,12135.864291174883
Friesenberg,2027,12265.671604499614
Friesenberg,2028,12411.147184394842
Friesenberg,2029,12550.83052932857
Friesenberg,2030,12684.946225614462
Friesenberg,2031,12813.763190983225
Friesenberg,2032,12937.452547202505
Friesenberg,2033,13056.231763875374
Friesenberg,2034,13170.29349693132
Friesenberg,2035,13279.848473895454
Friesenberg,2036,13385.0283810084
Friesenberg,2037,13486.022138170667
Friesenberg,2038,13583.017843075288
Friesenberg,2039,13676.167011803358
Friesenberg,2040,13765.604436835514
Friesenberg,2041,13851.484543914012
Friesenberg,2042,13933.983676450167
Friesenberg,2043,14013.180672568615
Friesenberg,2044,14089.254444654554
Friesenberg,2045,14162.295896294134
Friesenberg,2046,14232.445658088853
Friesenberg,2047,14299.81857585621
Friesenberg,2048,14364.503396228505
Friesenberg,2049,14426.6310278681
Friesenberg,2050,14486.288123596873
Sihlfeld,2008,20543
Sihlfeld,2009,20464
Sihlfeld,2010,20115
Sihlfeld,2011,20307
Sihlfeld,2012,20831
Sihlfeld,2013,20931
