year,age,sex,mor
2023,83,female,4.171
2023,84,male,6.9423
2023,84,female,4.7348
2023,85,male,7.7386
2023,85,female,5.3857
2023,86,male,8.6328
2023,86,female,6.1386
2023,87,male,9.6397
2023,87,female,7.0156
2023,88,male,10.7752
2023,88,female,8.0307
2023,89,male,12.0591
2023,89,female,9.2128
2023,90,male,13.5177
2023,90,female,10.5948
2023,91,male,15.1847
2023,91,female,12.2066
2023,92,male,17.0804
2023,92,female,14.0871
2023,93,male,19.2361
2023,93,female,16.2822
2023,94,male,21.7167
2023,94,female,18.8643
2023,95,male,24.5628
2023,95,female,21.8556
2023,96,male,27.8183
2023,96,female,25.3411
2023,97,male,31.5394
2023,97,female,29.412
2023,98,male,35.7934
2023,98,female,34.0765
2023,99,male,40.9194
2023,99,female,39.0425
2023,100,male,46.8518
2023,100,female,44.4694
2023,101,male,53.7397
2023,101,female,50.5429
2023,102,male,60.7197
2023,102,female,57.28
2023,103,male,68.3766
2023,103,female,63.9639
2023,104,male,76.4537
2023,104,female,71.3057
2023,105,male,79.5101
2023,105,female,77.92
2023,106,male,100
2023,106,female,90.9382
2023,107,male,100
2023,107,female,100
2023,108,male,100
2023,108,female,100
2023,109,male,100
2023,109,female,100
2023,110,male,100
2023,110,female,100
2023,111,male,100
2023,111,female,100
2023,112,male,100
2023,112,female,100
2023,113,male,100
2023,113,female,100
2023,114,male,100
2023,114,female,100
2023,115,male,100
2023,115,female,100
2023,116,male,100
2023,116,female,100
2023,117,male,100
2023,117,female,100
2023,118,male,100
2023,118,female,100
2023,119,male,100
2023,119,female,100
2023,120,male,100
2023,120,female,100
2024,0,male,0.4046
2024,0,female,0.4528
2024,1,male,0.0466
2024,1,female,0.0454
2024,2,male,0.0244
2024,2,female,0.0203
2024,3,male,0.0182
2024,3,female,0.0139
2024,4,male,0.0137
2024,4,female,0.0103
2024,5,male,0.0104
2024,5,female,0.0086
2024,6,male,0.008
2024,6,female,0.0078
2024,7,male,0.0063
2024,7,female,0.0074
2024,8,male,0.0053
2024,8,female,0.0077
2024,9,male,0.0048
2024,9,female,0.0081
2024,10,male,0.0047
2024,10,female,0.0085
2024,11,male,0.005
2024,11,female,0.0088
2024,12,male,0.0051
2024,12,female,0.0092
2024,13,male,0.0059
2024,13,female,0.0092
2024,14,male,0.0078
2024,14,female,0.0098
2024,15,male,0.0117
2024,15,female,0.011
2024,16,male,0.0186
2024,16,female,0.0137
2024,17,male,0.0291
2024,17,female,0.0178
2024,18,male,0.0427
2024,18,female,0.023
2024,19,male,0.0563
2024,19,female,0.0277
2024,20,male,0.0644
2024,20,female,0.0303
2024,21,male,0.0654
2024,21,female,0.0302
2024,22,male,0.0617
2024,22,female,0.0287
2024,23,male,0.0564
2024,23,female,0.0267
2024,24,male,0.0522
2024,24,female,0.0252
2024,25,male,0.0488
2024,25,female,0.0241
2024,26,male,0.0463
2024,26,female,0.0236
2024,27,male,0.0447
2024,27,female,0.0233
2024,28,male,0.0437
2024,28,female,0.0236
2024,29,male,0.0433
2024,29,female,0.024
2024,30,male,0.0436
2024,30,female,0.0249
2024,31,male,0.0445
2024,31,female,0.0261
2024,32,male,0.0459
2024,32,female,0.0276
2024,33,male,0.0479
2024,33,female,0.0291
2024,34,male,0.0504
2024,34,female,0.0311
2024,35,male,0.0534
2024,35,female,0.0332
2024,36,male,0.057
2024,36,female,0.0358
2024,37,male,0.0614
2024,37,female,0.0388
2024,38,male,0.0668
2024,38,female,0.0422
2024,39,male,0.073
2024,39,female,0.0464
2024,40,male,0.0805
2024,40,female,0.0512
2024,41,male,0.0894
2024,41,female,0.0569
2024,42,male,0.0996
2024,42,female,0.0635
2024,43,male,0.1115
2024,43,female,0.0708
2024,44,male,0.1248
2024,44,female,0.0794
2024,45,male,0.1398
2024,45,female,0.0887
2024,46,male,0.1561
2024,46,female,0.0987
2024,47,male,0.1738
2024,47,female,0.1096
2024,48,male,0.1928
2024,48,female,0.1212
2024,49,male,0.2133
2024,49,female,0.1337
2024,50,male,0.2353
2024,50,female,0.147
2024,51,male,0.259
2024,51,female,0.1612
2024,52,male,0.2845
2024,52,female,0.1768
2024,53,male,0.3122
2024,53,female,0.1937
2024,54,male,0.3423
2024,54,female,0.2121
2024,55,male,0.3754
2024,55,female,0.2327
2024,56,male,0.412
2024,56,female,0.2553
2024,57,male,0.452
2024,57,female,0.2803
2024,58,male,0.4959
2024,58,female,0.308
2024,59,male,0.5445
2024,59,female,0.3382
2024,60,male,0.5976
2024,60,female,0.3716
2024,61,male,0.6557
2024,61,female,0.4078
2024,62,male,0.7191
2024,62,female,0.4466
2024,63,male,0.789
