district,year,owner,aca_dyw
Gewerbeschule,2044,private housing,1.6804
Gewerbeschule,2045,cooperative housing,2.0254
Gewerbeschule,2045,private housing,1.6784
Gewerbeschule,2046,cooperative housing,2.0237
Gewerbeschule,2046,private housing,1.6765
Gewerbeschule,2047,cooperative housing,2.0219
Gewerbeschule,2047,private housing,1.6746
Gewerbeschule,2048,cooperative housing,2.0202
Gewerbeschule,2048,private housing,1.6726
Gewerbeschule,2049,cooperative housing,2.0184
Gewerbeschule,2049,private housing,1.6707
Gewerbeschule,2050,cooperative housing,2.0167
Gewerbeschule,2050,private housing,1.6687
Escher Wyss,2021,cooperative housing,2.2078
Escher Wyss,2021,private housing,1.7922
Escher Wyss,2022,cooperative housing,2.2094
Escher Wyss,2022,private housing,1.7922
Escher Wyss,2023,cooperative housing,2.2111
Escher Wyss,2023,private housing,1.7922
Escher Wyss,2024,cooperative housing,2.2128
Escher Wyss,2024,private housing,1.7922
Escher Wyss,2025,cooperative housing,2.2145
Escher Wyss,2025,private housing,1.7922
Escher Wyss,2026,cooperative housing,2.2162
Escher Wyss,2026,private housing,1.7922
Escher Wyss,2027,cooperative housing,2.2179
Escher Wyss,2027,private housing,1.7922
Escher Wyss,2028,cooperative housing,2.2196
Escher Wyss,2028,private housing,1.7922
Escher Wyss,2029,cooperative housing,2.2212
Escher Wyss,2029,private housing,1.7922
Escher Wyss,2030,cooperative housing,2.2229
Escher Wyss,2030,private housing,1.7922
Escher Wyss,2031,cooperative housing,2.2246
Escher Wyss,2031,private housing,1.7922
Escher Wyss,2032,cooperative housing,2.2263
Escher Wyss,2032,private housing,1.7922
Escher Wyss,2033,cooperative housing,2.228
Escher Wyss,2033,private housing,1.7922
Escher Wyss,2034,cooperative housing,2.2297
Escher Wyss,2034,private housing,1.7922
Escher Wyss,2035,cooperative housing,2.2314
Escher Wyss,2035,private housing,1.7922
Escher Wyss,2036,cooperative housing,2.233
Escher Wyss,2036,private housing,1.7922
Escher Wyss,2037,cooperative housing,2.2347
Escher Wyss,2037,private housing,1.7922
Escher Wyss,2038,cooperative housing,2.2364
Escher Wyss,2038,private housing,1.7922
Escher Wyss,2039,cooperative housing,2.2381
Escher Wyss,2039,private housing,1.7922
Escher Wyss,2040,cooperative housing,2.2398
Escher Wyss,2040,private housing,1.7922
Escher Wyss,2041,cooperative housing,2.2415
Escher Wyss,2041,private housing,1.7922
Escher Wyss,2042,cooperative housing,2.2431
Escher Wyss,2042,private housing,1.7922
Escher Wyss,2043,cooperative housing,2.2448
Escher Wyss,2043,private housing,1.7922
Escher Wyss,2044,cooperative housing,2.2465
Escher Wyss,2044,private housing,1.7922
Escher Wyss,2045,cooperative housing,2.2482
Escher Wyss,2045,private housing,1.7922
Escher Wyss,2046,cooperative housing,2.2499
Escher Wyss,2046,private housing,1.7922
Escher Wyss,2047,cooperative housing,2.2516
Escher Wyss,2047,private housing,1.7922
Escher Wyss,2048,cooperative housing,2.2533
Escher Wyss,2048,private housing,1.7922
Escher Wyss,2049,cooperative housing,2.2549
Escher Wyss,2049,private housing,1.7922
Escher Wyss,2050,cooperative housing,2.2566
Escher Wyss,2050,private housing,1.7922
Unterstrass,2021,cooperative housing,2.1498
Unterstrass,2021,private housing,1.716
Unterstrass,2022,cooperative housing,2.1536
Unterstrass,2022,private housing,1.7189
Unterstrass,2023,cooperative housing,2.1574
Unterstrass,2023,private housing,1.7218
Unterstrass,2024,cooperative housing,2.1612
Unterstrass,2024,private housing,1.7247
Unterstrass,2025,cooperative housing,2.1649
Unterstrass,2025,private housing,1.7276
Unterstrass,2026,cooperative housing,2.1687
Unterstrass,2026,private housing,1.7306
Unterstrass,2027,cooperative housing,2.1725
Unterstrass,2027,private housing,1.7335
Unterstrass,2028,cooperative housing,2.1762
Unterstrass,2028,private housing,1.7364
Unterstrass,2029,cooperative housing,2.18
Unterstrass,2029,private housing,1.7393
Unterstrass,2030,cooperative housing,2.1838
Unterstrass,2030,private housing,1.7422
Unterstrass,2031,cooperative housing,2.1876
Unterstrass,2031,private housing,1.7451
Unterstrass,2032,cooperative housing,2.1913
Unterstrass,2032,private housing,1.748
Unterstrass,2033,cooperative housing,2.1951
Unterstrass,2033,private housing,1.7509
Unterstrass,2034,cooperative housing,2.1989
Unterstrass,2034,private housing,1.7538
Unterstrass,2035,cooperative housing,2.2027
Unterstrass,2035,private housing,1.7567
Unterstrass,2036,cooperative housing,2.2064
Unterstrass,2036,private housing,1.7596
Unterstrass,2037,cooperative housing,2.2102
Unterstrass,2037,private housing,1.7625
Unterstrass,2038,cooperative housing,2.214
Unterstrass,2038,private housing,1.7655
Unterstrass,2039,cooperative housing,2.2177
Unterstrass,2039,private housing,1.7684
Unterstrass,2040,cooperative housing,2.2215
Unterstrass,2040,private housing,1.7713
Unterstrass,2041,cooperative housing,2.2253
Unterstrass,2041,private housing,1.7742
Unterstrass,2042,cooperative housing,2.2291
Unterstrass,2042,private housing,1.7771
Unterstrass,2043,cooperative housing,2.2328
Unterstrass,2043,private housing,1.78
Unterstrass,2044,cooperative housing,2.2366
Unterstrass,2044,private housing,1.7829
Unterstrass,2045,cooperative housing,2.2404
Unterstrass,2045,private housing,1.7858
Unterstrass,2046,cooperative housing,2.2442
Unterstrass,2046,private housing,1.7887
Unterstrass,2047,cooperative housing,2.2479
Unterstrass,2047,private housing,1.7916
Unterstrass,2048,cooperative housing,2.2517
Unterstrass,2048,private housing,1.7945
Unterstrass,2049,cooperative housing,2.2555
Unterstrass,2049,private housing,1.7974
Unterstrass,2050,cooperative housing,2.2593
Unterstrass,2050,private housing,1.8004
Oberstrass,2021,cooperative housing,2.2377
Oberstrass,2021,private housing,1.8417
Oberstrass,2022,cooperative housing,2.2358
Oberstrass,2022,private housing,1.8434
Oberstrass,2023,cooperative housing,2.2339
Oberstrass,2023,private housing,1.8452
Oberstrass,2024,cooperative housing,2.2319
Oberstrass,2024,private housing,1.847
Oberstrass,2025,cooperative housing,2.23
Oberstrass,2025,private housing,1.8488
Oberstrass,2026,cooperative housing,2.228
Oberstrass,2026,private housing,1.8506
Oberstrass,2027,cooperative housing,2.2261
Oberstrass,2027,private housing,1.8523
Oberstrass,2028,cooperative housing,2.2242
Oberstrass,2028,private housing,1.8541
Oberstrass,2029,cooperative housing,2.2222
Oberstrass,2029,private housing,1.8559
Oberstrass,2030,cooperative housing,2.2203
Oberstrass,2030,private housing,1.8577
Oberstrass,2031,cooperative housing,2.2184
Oberstrass,2031,private housing,1.8595
Oberstrass,2032,cooperative housing,2.2164
Oberstrass,2032,private housing,1.8612
Oberstrass,2033,cooperative housing,2.2145
Oberstrass,2033,private housing,1.863
Oberstrass,2034,cooperative housing,2.2125
Oberstrass,2034,private housing,1.8648
Oberstrass,2035,cooperative housing,2.2106
Oberstrass,2035,private housing,1.8666
Oberstrass,2036,cooperative housing,2.2087
Oberstrass,2036,private housing,1.8683
Oberstrass,2037,cooperative housing,2.2067
Oberstrass,2037,private housing,1.8701
Oberstrass,2038,cooperative housing,2.2048
Oberstrass,2038,private housing,1.8719
Oberstrass,2039,cooperative housing,2.2029
Oberstrass,2039,private housing,1.8737
Oberstrass,2040,cooperative housing,2.2009
Oberstrass,2040,private housing,1.8755
Oberstrass,2041,cooperative housing,2.199
Oberstrass,2041,private housing,1.8772
Oberstrass,2042,cooperative housing,2.1971
Oberstrass,2042,private housing,1.879
Oberstrass,2043,cooperative housing,2.1951
Oberstrass,2043,private housing,1.8808
Oberstrass,2044,cooperative housing,2.1932
Oberstrass,2044,private housing,1.8826
Oberstrass,2045,cooperative housing,2.1912
Oberstrass,2045,private housing,1.8843
Oberstrass,2046,cooperative housing,2.1893
Oberstrass,2046,private housing,1.8861
Oberstrass,2047,cooperative housing,2.1874
Oberstrass,2047,private housing,1.8879
Oberstrass,2048,cooperative housing,2.1854
Oberstrass,2048,private housing,1.8897
Oberstrass,2049,cooperative housing,2.1835
Oberstrass,2049,private housing,1.8915
Oberstrass,2050,cooperative housing,2.1816
Oberstrass,2050,private housing,1.8932
Fluntern,2021,cooperative housing,2.2078
Fluntern,2021,private housing,1.9295
Fluntern,2022,cooperative housing,2.2094
Fluntern,2022,private housing,1.9308
Fluntern,2023,cooperative housing,2.2111
Fluntern,2023,private housing,1.9321
Fluntern,2024,cooperative housing,2.2128
Fluntern,2024,private housing,1.9334
Fluntern,2025,cooperative housing,2.2145
Fluntern,2025,private housing,1.9347
Fluntern,2026,cooperative housing,2.2162
Fluntern,2026,private housing,1.936
Fluntern,2027,cooperative housing,2.2179
Fluntern,2027,private housing,1.9373
Fluntern,2028,cooperative housing,2.2196
Fluntern,2028,private housing,1.9386
Fluntern,2029,cooperative housing,2.2212
Fluntern,2029,private housing,1.9399
Fluntern,2030,cooperative housing,2.2229
Fluntern,2030,private housing,1.9412
Fluntern,2031,cooperative housing,2.2246
Fluntern,2031,private housing,1.9425
Fluntern,2032,cooperative housing,2.2263
Fluntern,2032,private housing,1.9438
Fluntern,2033,cooperative housing,2.228
Fluntern,2033,private housing,1.9451
Fluntern,2034,cooperative housing,2.2297
Fluntern,2034,private housing,1.9464
Fluntern,2035,cooperative housing,2.2314
Fluntern,2035,private housing,1.9477
Fluntern,2036,cooperative housing,2.233
Fluntern,2036,private housing,1.949
Fluntern,2037,cooperative housing,2.2347
Fluntern,2037,private housing,1.9503
Fluntern,2038,cooperative housing,2.2364
Fluntern,2038,private housing,1.9516
Fluntern,2039,cooperative housing,2.2381
Fluntern,2039,private housing,1.9529
Fluntern,2040,cooperative housing,2.2398
Fluntern,2040,private housing,1.9542
Fluntern,2041,cooperative housing,2.2415
Fluntern,2041,private housing,1.9555
Fluntern,2042,cooperative housing,2.2431
Fluntern,2042,private housing,1.9568
Fluntern,2043,cooperative housing,2.2448
Fluntern,2043,private housing,1.9581
