PublJahr,ArealCd,WohnanteilCd,QuarCd,QuarLang,EigentumGrundstkCd,Kapazitaet,Bestand,Reserve,Inanspruchnahme
2016,2,1,010,Kreis 1,1,92771,94017,-1246,269
2016,2,1,010,Kreis 1,2,252739,256350,-3611,-222
2016,2,1,021,Wollishofen,1,319907,237677,82230,39942
2016,2,1,021,Wollishofen,2,669812,564177,105635,55178
2016,2,1,023,Leimbach,1,143018,118696,24322,13397
2016,2,1,023,Leimbach,2,168130,116934,51195,20581
2016,2,1,024,Enge,1,54246,35973,18274,6961
2016,2,1,024,Enge,2,629241,497779,131462,44687
2016,2,1,031,Alt-Wiedikon,1,95505,69368,26137,7090
2016,2,1,031,Alt-Wiedikon,2,815268,714043,101225,24303
2016,2,1,033,Friesenberg,1,338262,265780,72481,32331
2016,2,1,033,Friesenberg,2,141190,121595,19596,12710
2016,2,1,034,Sihlfeld,1,346599,271028,75571,29423
2016,2,1,034,Sihlfeld,2,829567,638619,190948,45856
2016,2,1,041,Werd,1,46568,35026,11541,716
2016,2,1,041,Werd,2,230777,171236,59540,8507
2016,2,1,042,Langstrasse,1,97467,77868,19599,1240
2016,2,1,042,Langstrasse,2,541973,389182,152791,44702
2016,2,1,044,Hard,1,377200,244782,132418,41871
2016,2,1,044,Hard,2,409255,293071,116185,24983
2016,2,1,051,Gewerbeschule,1,225162,128816,96346,8489
2016,2,1,051,Gewerbeschule,2,347649,313545,34103,6038
2016,2,1,052,Escher Wyss,1,33135,18944,14191,8147
2016,2,1,052,Escher Wyss,2,296365,270391,25974,24971
2016,2,1,061,Unterstrass,1,415158,309464,105693,56659
2016,2,1,061,Unterstrass,2,883874,694153,189721,75633
2016,2,1,063,Oberstrass,1,108164,91298,16866,7409
2016,2,1,063,Oberstrass,2,502797,492379,10418,11367
2016,2,1,071,Fluntern,1,48684,29552,19131,10028
2016,2,1,071,Fluntern,2,610810,528469,82341,50297
2016,2,1,072,Hottingen,1,59682,30186,29496,8652
2016,2,1,072,Hottingen,2,784622,630643,153978,44744
2016,2,1,073,Hirslanden,1,53595,48005,5590,2018
2016,2,1,073,Hirslanden,2,450673,359824,90849,27732
2016,2,1,074,Witikon,1,50302,39369,10933,3931
2016,2,1,074,Witikon,2,652923,561558,91365,76454
2016,2,1,081,Seefeld,1,23826,8783,15043,9644
2016,2,1,081,Seefeld,2,369182,301362,67820,10469
2016,2,1,082,Mühlebach,1,50670,31379,19290,2992
2016,2,1,082,Mühlebach,2,462796,304867,157929,20784
2016,2,1,083,Weinegg,1,51274,32702,18572,6362
2016,2,1,083,Weinegg,2,301155,236750,64405,32258
2016,2,1,091,Albisrieden,1,407995,330808,77187,48713
2016,2,1,091,Albisrieden,2,692588,558022,134567,97220
2016,2,1,092,Altstetten,1,479542,383732,95810,56703
2016,2,1,092,Altstetten,2,1104533,976142,128391,92599
2016,2,1,101,Höngg,1,276158,214313,61845,54436
2016,2,1,101,Höngg,2,919818,944462,-24644,36384
2016,2,1,102,Wipkingen,1,245927,174850,71077,31783
2016,2,1,102,Wipkingen,2,599461,534650,64811,20655
2016,2,1,111,Affoltern,1,469694,377725,91970,61613
2016,2,1,111,Affoltern,2,800233,751017,49216,79321
2016,2,1,115,Oerlikon,1,201265,140275,60990,16517
2016,2,1,115,Oerlikon,2,1094237,889990,204247,64869
2016,2,1,119,Seebach,1,452331,287916,164415,103339
2016,2,1,119,Seebach,2,924226,763825,160401,102473
2016,2,1,121,Saatlen,1,348701,233942,114759,79184
2016,2,1,121,Saatlen,2,100738,72617,28121,12492
2016,2,1,122,Schwamendingen-Mitte,1,226405,159022,67383,39938
2016,2,1,122,Schwamendingen-Mitte,2,412427,298984,113443,50230
2016,2,1,123,Hirzenbach,1,431871,188180,243691,159560
2016,2,1,123,Hirzenbach,2,330680,215996,114684,62882
2016,2,2,010,Kreis 1,1,110985,94017,16967,2601
2016,2,2,010,Kreis 1,2,262903,256350,6554,760
2016,2,2,021,Wollishofen,1,401589,238016,163573,74916
2016,2,2,021,Wollishofen,2,901388,566222,335166,153869
2016,2,2,023,Leimbach,1,195690,127966,67724,27003
2016,2,2,023,Leimbach,2,207349,116934,90415,33772
2016,2,2,024,Enge,1,74421,35973,38448,13565
2016,2,2,024,Enge,2,749676,497975,251702,83498
2016,2,2,031,Alt-Wiedikon,1,125655,69368,56287,12899
2016,2,2,031,Alt-Wiedikon,2,1045869,741827,304042,65044
2016,2,2,033,Friesenberg,1,425175,269429,155745,55371
2016,2,2,033,Friesenberg,2,183220,121595,61626,23728
2016,2,2,034,Sihlfeld,1,389202,271028,118175,44193
2016,2,2,034,Sihlfeld,2,971287,638801,332486,73784
2016,2,2,041,Werd,1,67931,39370,28561,3679
2016,2,2,041,Werd,2,298474,176890,121585,14215
2016,2,2,042,Langstrasse,1,118836,78637,40199,3892
2016,2,2,042,Langstrasse,2,717560,405577,311983,83771
2016,2,2,044,Hard,1,412620,244782,167838,50935
2016,2,2,044,Hard,2,459419,293338,166081,39655
2016,2,2,051,Gewerbeschule,1,263361,129053,134308,13865
2016,2,2,051,Gewerbeschule,2,437155,313868,123288,17996
2016,2,2,052,Escher Wyss,1,91289,18944,72345,40051
2016,2,2,052,Escher Wyss,2,495991,302804,193187,72435
2016,2,2,061,Unterstrass,1,513588,310148,203440,97546
2016,2,2,061,Unterstrass,2,1096146,694907,401239,132243
2016,2,2,063,Oberstrass,1,132938,91298,41640,14739
2016,2,2,063,Oberstrass,2,605988,493209,112779,40686
2016,2,2,071,Fluntern,1,62629,29552,33077,15436
2016,2,2,071,Fluntern,2,754565,529097,225468,94397
2016,2,2,072,Hottingen,1,75539,30186,45353,13953
2016,2,2,072,Hottingen,2,909750,630921,278830,77440
2016,2,2,073,Hirslanden,1,67620,48005,19615,6741
2016,2,2,073,Hirslanden,2,544058,360337,183721,55554
2016,2,2,074,Witikon,1,70448,39369,31079,9462
2016,2,2,074,Witikon,2,836944,563785,273159,133680
2016,2,2,081,Seefeld,1,31064,9603,21461,13164
2016,2,2,081,Seefeld,2,415538,302071,113467,17087
2016,2,2,082,Mühlebach,1,60443,31379,29064,4982
2016,2,2,082,Mühlebach,2,553142,307049,246093,38583
2016,2,2,083,Weinegg,1,78811,32702,46109,17175
2016,2,2,083,Weinegg,2,388584,239356,149228,55802
2016,2,2,091,Albisrieden,1,497353,333370,163983,78411
2016,2,2,091,Albisrieden,2,850557,558698,291859,152165
2016,2,2,092,Altstetten,1,588844,385504,203340,101640
2016,2,2,092,Altstetten,2,1498918,983609,515309,206181
2016,2,2,101,Höngg,1,346406,214313,132093,78099
2016,2,2,101,Höngg,2,1163742,945257,218485,97183
2016,2,2,102,Wipkingen,1,297153,174850,122303,50373
2016,2,2,102,Wipkingen,2,701742,535323,166419,49162
2016,2,2,111,Affoltern,1,598032,377725,220307,101606
2016,2,2,111,Affoltern,2,1036496,751112,285384,150465
2016,2,2,115,Oerlikon,1,317249,140449,176800,49899
2016,2,2,115,Oerlikon,2,1398157,890276,507881,171295
2016,2,2,119,Seebach,1,634937,289054,345883,191778
2016,2,2,119,Seebach,2,1275207,763961,511246,213400
2016,2,2,121,Saatlen,1,440854,245210,195644,125160
2016,2,2,121,Saatlen,2,137487,72617,64870,28455
2016,2,2,122,Schwamendingen-Mitte,1,280633,159022,121611,68407
2016,2,2,122,Schwamendingen-Mitte,2,516555,298984,217571,95740
2016,2,2,123,Hirzenbach,1,515187,188180,327008,203765
2016,2,2,123,Hirzenbach,2,400080,215996,184084,91333
2017,1,1,010,Kreis 1,1,95556,94698,858,427
2017,1,1,010,Kreis 1,2,254862,256417,-1556,-68
2017,1,1,021,Wollishofen,1,376908,245759,131149,66012
