district,year,sex,origin,bir
Wollishofen,2035,male,foreign,43.15000140711773
Wollishofen,2035,female,Swiss,65.39469863888901
Wollishofen,2035,female,foreign,40.58437996196891
Wollishofen,2036,male,Swiss,66.78080670893601
Wollishofen,2036,male,foreign,42.122327841641706
Wollishofen,2036,female,Swiss,62.810140098748576
Wollishofen,2036,female,foreign,39.617810017633516
Wollishofen,2037,male,Swiss,64.60312523145433
Wollishofen,2037,male,foreign,41.31019715163329
Wollishofen,2037,female,Swiss,60.76193964368022
Wollishofen,2037,female,foreign,38.853967157210334
Wollishofen,2038,male,Swiss,63.08173381866536
Wollishofen,2038,male,foreign,40.71731179158661
Wollishofen,2038,female,Swiss,59.3310074269012
Wollishofen,2038,female,foreign,38.29633369391097
Wollishofen,2039,male,Swiss,62.255726359192685
Wollishofen,2039,male,foreign,40.33176817894843
Wollishofen,2039,female,Swiss,58.55411288475805
Wollishofen,2039,female,foreign,37.933713810783054
Wollishofen,2040,male,Swiss,62.103718070260044
Wollishofen,2040,male,foreign,40.13816773040658
Wollishofen,2040,female,Swiss,58.41114273518133
Wollishofen,2040,female,foreign,37.751624496571964
Wollishofen,2041,male,Swiss,62.6101617348543
Wollishofen,2041,male,foreign,40.1134906929908
Wollishofen,2041,female,Swiss,58.88747417070789
Wollishofen,2041,female,foreign,37.72841471140027
Wollishofen,2042,male,Swiss,63.74165223655058
Wollishofen,2042,male,foreign,40.227151473345145
Wollishofen,2042,female,Swiss,59.95168828303062
Wollishofen,2042,female,foreign,37.83531742626121
Wollishofen,2043,male,Swiss,65.45746141915984
Wollishofen,2043,male,foreign,40.4480065873749
Wollishofen,2043,female,Swiss,61.56547853884655
Wollishofen,2043,female,foreign,38.04304089258881
Wollishofen,2044,male,Swiss,67.7039005158548
Wollishofen,2044,male,foreign,40.74522212204536
Wollishofen,2044,female,Swiss,63.67834840880329
Wollishofen,2044,female,foreign,38.32258452633887
Wollishofen,2045,male,Swiss,70.4150546415974
Wollishofen,2045,male,foreign,41.086274529334474
Wollishofen,2045,female,Swiss,66.22830218832847
Wollishofen,2045,female,foreign,38.64335857113606
Wollishofen,2046,male,Swiss,73.46283021259487
Wollishofen,2046,male,foreign,41.44203768805067
Wollishofen,2046,female,Swiss,69.0948625076467
Wollishofen,2046,female,foreign,38.977968692549105
Wollishofen,2047,male,Swiss,76.69274105508268
Wollishofen,2047,male,foreign,41.788112938864394
Wollishofen,2047,female,Swiss,72.132728662923
Wollishofen,2047,female,foreign,39.30346693163238
Wollishofen,2048,male,Swiss,79.96918363856292
Wollishofen,2048,male,foreign,42.10245054197604
Wollishofen,2048,female,Swiss,75.21435986559553
Wollishofen,2048,female,foreign,39.59911458644133
Wollishofen,2049,male,Swiss,83.1396385956194
Wollishofen,2049,male,foreign,42.372958029292185
Wollishofen,2049,female,Swiss,78.19630527541102
Wollishofen,2049,female,foreign,39.85353818527776
Wollishofen,2050,male,Swiss,86.09927948352886
Wollishofen,2050,male,foreign,42.59628517840967
Wollishofen,2050,female,Swiss,80.97997124131952
Wollishofen,2050,female,foreign,40.06358670393465
Leimbach,2021,male,Swiss,21.444158908455666
Leimbach,2021,male,foreign,15.928998437224333
Leimbach,2021,female,Swiss,20.169127803598332
Leimbach,2021,female,foreign,14.98188885072167
Leimbach,2022,male,Swiss,22.61470077856147
Leimbach,2022,male,foreign,17.1222076884003
Leimbach,2022,female,Swiss,21.270071360228933
Leimbach,2022,female,foreign,16.104152026728748
Leimbach,2023,male,Swiss,22.914477560012124
Leimbach,2023,male,foreign,17.479945342680864
Leimbach,2023,female,Swiss,21.552023953634006
Leimbach,2023,female,foreign,16.440619243752543
Leimbach,2024,male,Swiss,23.450153458338562
Leimbach,2024,male,foreign,17.996142765283803
Leimbach,2024,female,Swiss,22.055849526871725
Leimbach,2024,female,foreign,16.926124496386233
Leimbach,2025,male,Swiss,23.081275956149288
Leimbach,2025,male,foreign,17.591668983347233
Leimbach,2025,female,Swiss,21.70890481725227
Leimbach,2025,female,foreign,16.54569999776593
Leimbach,2026,male,Swiss,22.712189469831202
Leimbach,2026,male,foreign,17.152438666704587
Leimbach,2026,female,Swiss,21.36176354932428
Leimbach,2026,female,foreign,16.132585525456765
Leimbach,2027,male,Swiss,22.370619666307604
Leimbach,2027,male,foreign,16.714053366075774
Leimbach,2027,female,Swiss,21.040502871741772
Leimbach,2027,female,foreign,15.720265826029667
Leimbach,2028,male,Swiss,22.25183577792707
Leimbach,2028,male,foreign,16.49633902540162
Leimbach,2028,female,Swiss,20.928781659640023
Leimbach,2028,female,foreign,15.515496388325037
Leimbach,2029,male,Swiss,22.14306308683009
Leimbach,2029,male,foreign,16.28490046853026
Leimbach,2029,female,Swiss,20.826476397044182
Leimbach,2029,female,foreign,15.31662958761012
Leimbach,2030,male,Swiss,22.042194513498917
Leimbach,2030,male,foreign,16.091664949040254
Leimbach,2030,female,Swiss,20.73160528759345
Leimbach,2030,female,foreign,15.134883504426046
Leimbach,2031,male,Swiss,21.94647145215016
Leimbach,2031,male,foreign,15.924264105043408
Leimbach,2031,female,Swiss,20.641573747240816
Leimbach,2031,female,foreign,14.97743601341388
Leimbach,2032,male,Swiss,21.858994978168894
Leimbach,2032,male,foreign,15.79178214217929
Leimbach,2032,female,Swiss,20.559298467008652
Leimbach,2032,female,foreign,14.852831189690793
Leimbach,2033,male,Swiss,21.779318309291213
Leimbach,2033,male,foreign,15.6981005544144
Leimbach,2033,female,Swiss,20.484359229502573
Leimbach,2033,female,foreign,14.764719740575897
Leimbach,2034,male,Swiss,21.71506121884888
Leimbach,2034,male,foreign,15.643659924746766
Leimbach,2034,female,Swiss,20.423922750042067
Leimbach,2034,female,foreign,14.713516052794892
Leimbach,2035,male,Swiss,21.66789006443902
Leimbach,2035,male,foreign,15.624541259012354
Leimbach,2035,female,Swiss,20.379556307599756
Leimbach,2035,female,foreign,14.695534148525397
Leimbach,2036,male,Swiss,21.6367543956407
Leimbach,2036,male,foreign,15.630405887244235
Leimbach,2036,female,Swiss,20.3502719096467
Leimbach,2036,female,foreign,14.701050076514663
Leimbach,2037,male,Swiss,21.618419045294917
Leimbach,2037,male,foreign,15.653525502784579
Leimbach,2037,female,Swiss,20.333026746242222
Leimbach,2037,female,foreign,14.722795041313415
Leimbach,2038,male,Swiss,21.61266865813375
Leimbach,2038,male,foreign,15.691250412738334
Leimbach,2038,female,Swiss,20.327618266755152
Leimbach,2038,female,foreign,14.758276895998634
Leimbach,2039,male,Swiss,21.6184347356068
Leimbach,2039,male,foreign,15.741736499248841
Leimbach,2039,female,Swiss,20.33304150363639
Leimbach,2039,female,foreign,14.805761170643347
Leimbach,2040,male,Swiss,21.6352833251964
Leimbach,2040,male,foreign,15.802099913425643
Leimbach,2040,female,Swiss,20.348888306404167
Leimbach,2040,female,foreign,14.862535484823297
Leimbach,2041,male,Swiss,21.66138209069649
Leimbach,2041,male,foreign,15.871635787076952
Leimbach,2041,female,Swiss,20.373435286266346
Leimbach,2041,female,foreign,14.927936880541138
Leimbach,2042,male,Swiss,21.692242796736807
Leimbach,2042,male,foreign,15.95110279770512
Leimbach,2042,female,Swiss,20.402461070252258
Leimbach,2042,female,foreign,15.00267892569999
Leimbach,2043,male,Swiss,21.721082804111735
Leimbach,2043,male,foreign,16.03824542327321
Leimbach,2043,female,Swiss,20.42958630267965
Leimbach,2043,female,foreign,15.084640207544943
Leimbach,2044,male,Swiss,21.74010836428947
Leimbach,2044,male,foreign,16.131114921139243
Leimbach,2044,female,Swiss,20.447480637281338
Leimbach,2044,female,foreign,15.171987852165195
Leimbach,2045,male,Swiss,21.738972732732474
Leimbach,2045,male,foreign,16.226041390257585
Leimbach,2045,female,Swiss,20.446412528333415
Leimbach,2045,female,foreign,15.261270164228144
Leimbach,2046,male,Swiss,21.709936406906696
Leimbach,2046,male,foreign,16.31889459145503
Leimbach,2046,female,Swiss,20.419102650197036
Leimbach,2046,female,foreign,15.348602481150404
Leimbach,2047,male,Swiss,21.646413663871222
Leimbach,2047,male,foreign,16.406413825211672
Leimbach,2047,female,Swiss,20.359356855167867
Leimbach,2047,female,foreign,15.430917978738634
Leimbach,2048,male,Swiss,21.547886692327776
Leimbach,2048,male,foreign,16.487388807199647
Leimbach,2048,female,Swiss,20.26668812007573
Leimbach,2048,female,foreign,15.50707833399349
Leimbach,2049,male,Swiss,21.4148978430592
Leimbach,2049,male,foreign,16.560929679765582
Leimbach,2049,female,Swiss,20.141606548501777
Leimbach,2049,female,foreign,15.576246598596565
Leimbach,2050,male,Swiss,21.253144025061683
Leimbach,2050,male,foreign,16.62771017611444
Leimbach,2050,female,Swiss,19.98947032148354
Leimbach,2050,female,foreign,15.639056446788693
Enge,2021,male,Swiss,52.18363914386717
Enge,2021,male,foreign,29.384472947052824
Enge,2021,female,Swiss,49.08089385284782
Enge,2021,female,foreign,27.637325056232175
Enge,2022,male,Swiss,52.26124523488406
Enge,2022,male,foreign,30.001005426127385
Enge,2022,female,Swiss,49.15388562532719
Enge,2022,female,foreign,28.217199623409577
Enge,2023,male,Swiss,52.25865297504647
Enge,2023,male,foreign,30.490845412067056
Enge,2023,female,Swiss,49.15144749659537
Enge,2023,female,foreign,28.677914605139843
Enge,2024,male,Swiss,53.51154597234576
Enge,2024,male,foreign,31.972695842698755
Enge,2024,female,Swiss,50.32984573056848
Enge,2024,female,foreign,30.071656875415727
Enge,2025,male,Swiss,53.40745503331411
Enge,2025,male,foreign,32.24123361648845
Enge,2025,female,Swiss,50.231943851483905
Enge,2025,female,foreign,30.32422787634794
Enge,2026,male,Swiss,52.94242647929024
Enge,2026,male,foreign,32.12520633079806
Enge,2026,female,Swiss,49.79456505857021
Enge,2026,female,foreign,30.21509936430025
Enge,2027,male,Swiss,52.309688268227994
Enge,2027,male,foreign,31.797593323540852
Enge,2027,female,Swiss,49.199448323070605
Enge,2027,female,foreign,29.90696563699018
Enge,2028,male,Swiss,51.61415363813379
Enge,2028,male,foreign,31.362813230858496
Enge,2028,female,Swiss,48.54526893062697
Enge,2028,female,foreign,29.49803678633179
Enge,2029,male,Swiss,50.890774456780036
Enge,2029,male,foreign,30.859784568517984
Enge,2029,female,Swiss,47.864900573841794
Enge,2029,female,foreign,29.024917303169484
Enge,2030,male,Swiss,50.497789332868
Enge,2030,male,foreign,30.62839165856368
Enge,2030,female,Swiss,47.49528163831109
Enge,2030,female,foreign,28.807282599302653
Enge,2031,male,Swiss,50.08926126715811
Enge,2031,male,foreign,30.35883224180291
Enge,2031,female,Swiss,47.11104391633586
Enge,2031,female,foreign,28.553750700452216
Enge,2032,male,Swiss,49.682917822706074
Enge,2032,male,foreign,30.075864678208305
Enge,2032,female,Swiss,46.72886092196923
Enge,2032,female,foreign,28.287607879053795
Enge,2033,male,Swiss,49.29245197446905
Enge,2033,male,foreign,29.802412060508324
Enge,2033,female,Swiss,46.36161147051475
Enge,2033,female,foreign,28.03041426198707
Enge,2034,male,Swiss,48.9303811144331
Enge,2034,male,foreign,29.557150334260847
Enge,2034,female,Swiss,46.02106869235316
Enge,2034,female,foreign,27.799735356690114
Enge,2035,male,Swiss,48.60943316271278
Enge,2035,male,foreign,29.3564209610715
Enge,2035,female,Swiss,45.71920372837001
Enge,2035,female,foreign,27.610940990864194
Enge,2036,male,Swiss,48.35530086172744
Enge,2036,male,foreign,29.20692909781977
Enge,2036,female,Swiss,45.48018167674856
Enge,2036,female,foreign,27.470337644825133
Enge,2037,male,Swiss,48.189327876736094
Enge,2037,male,foreign,29.112203325139408
Enge,2037,female,Swiss,45.32407714681451
Enge,2037,female,foreign,27.381244096151068
Enge,2038,male,Swiss,48.12496814290189
Enge,2038,male,foreign,29.074697685572602
Enge,2038,female,Swiss,45.26354412695352
Enge,2038,female,foreign,27.345968474430123
Enge,2039,male,Swiss,48.166015670139004
Enge,2039,male,foreign,29.09178010927245
Enge,2039,female,Swiss,45.302151042076716
Enge,2039,female,foreign,27.362035207952673
Enge,2040,male,Swiss,48.30766494080328
Enge,2040,male,foreign,29.15696128595879
Enge,2040,female,Swiss,45.43537810197263
Enge,2040,female,foreign,27.423340829151808
Enge,2041,male,Swiss,48.53809418774169
Enge,2041,male,foreign,29.260008019840267
Enge,2041,female,Swiss,45.65210644049259
Enge,2041,female,foreign,27.52026058964562
Enge,2042,male,Swiss,48.83842619999821
Enge,2042,male,foreign,29.389411347518017
Enge,2042,female,Swiss,45.934581251678836
Enge,2042,female,foreign,27.641969828291227
Enge,2043,male,Swiss,49.189174344300724
Enge,2043,male,foreign,29.529880899242844
Enge,2043,female,Swiss,46.26447454241186
Enge,2043,female,foreign,27.774087313213197
Enge,2044,male,Swiss,49.567922770316656
Enge,2044,male,foreign,29.66476071288487
Enge,2044,female,Swiss,46.6207032684877
Enge,2044,female,foreign,27.90094741582132
Enge,2045,male,Swiss,49.96216927501998
Enge,2045,male,foreign,29.780769656570193
Enge,2045,female,Swiss,46.99150858537741
Enge,2045,female,foreign,28.010058676446562
Enge,2046,male,Swiss,50.363087326018395
Enge,2046,male,foreign,29.867733530460423
Enge,2046,female,Swiss,47.36858877042342
Enge,2046,female,foreign,28.091851834866798
Enge,2047,male,Swiss,50.76909585245276
Enge,2047,male,foreign,29.920647045993615
Enge,2047,female,Swiss,47.7504567603951
Enge,2047,female,foreign,28.14161920797211
Enge,2048,male,Swiss,51.183631098060324
Enge,2048,male,foreign,29.93616889432349
Enge,2048,female,Swiss,48.140344486159826
Enge,2048,female,foreign,28.156218155128297
Enge,2049,male,Swiss,51.60065799650074
Enge,2049,male,foreign,29.918153993865282
Enge,2049,female,Swiss,48.53257571556311
Enge,2049,female,foreign,28.139274388237645
Enge,2050,male,Swiss,52.01566787059557
Enge,2050,male,foreign,29.866952708502485
Enge,2050,female,Swiss,48.922909849259234
Enge,2050,female,foreign,28.091117439177577
Alt-Wiedikon,2021,male,Swiss,93.01475092034481
Alt-Wiedikon,2021,male,foreign,40.89399255413516
Alt-Wiedikon,2021,female,Swiss,87.48426118930517
Alt-Wiedikon,2021,female,foreign,38.46250933621484
Alt-Wiedikon,2022,male,Swiss,92.93995052554492
Alt-Wiedikon,2022,male,foreign,41.49318742517662
Alt-Wiedikon,2022,female,Swiss,87.41390829139392
Alt-Wiedikon,2022,female,foreign,39.02607715833775
Alt-Wiedikon,2023,male,Swiss,92.89423417776965
Alt-Wiedikon,2023,male,foreign,42.05640900303554
Alt-Wiedikon,2023,female,Swiss,87.3709101554013
Alt-Wiedikon,2023,female,foreign,39.55581059456506
Alt-Wiedikon,2024,male,Swiss,96.42300011159556
Alt-Wiedikon,2024,male,foreign,44.813794322430866
Alt-Wiedikon,2024,female,Swiss,90.68986201600588
Alt-Wiedikon,2024,female,foreign,42.149246744150815
Alt-Wiedikon,2025,male,Swiss,95.90185467261463
Alt-Wiedikon,2025,male,foreign,44.85995282383117
Alt-Wiedikon,2025,female,Swiss,90.1997029471452
Alt-Wiedikon,2025,female,foreign,42.19266074410948
Alt-Wiedikon,2026,male,Swiss,95.59007015329105
Alt-Wiedikon,2026,male,foreign,44.94075936111416
Alt-Wiedikon,2026,female,Swiss,89.90645657435597
Alt-Wiedikon,2026,female,foreign,42.26866267007843
Alt-Wiedikon,2027,male,Swiss,97.29752968347206
Alt-Wiedikon,2027,male,foreign,46.19466146117427
Alt-Wiedikon,2027,female,Swiss,91.51239363305372
Alt-Wiedikon,2027,female,foreign,43.44801000737785
Alt-Wiedikon,2028,male,Swiss,97.02958496376249
Alt-Wiedikon,2028,male,foreign,46.01025670459469
