PublJahr,ArealCd,WohnanteilCd,QuarCd,QuarLang,EigentumGrundstkCd,Kapazitaet,Bestand,Reserve,Inanspruchnahme
2017,2,2,111,Affoltern,2,960140,761422,198718,120802
2017,2,2,115,Oerlikon,1,295241,150081,145160,36027
2017,2,2,115,Oerlikon,2,1373262,895834,477428,179589
2017,2,2,119,Seebach,1,603014,277409,325605,174743
2017,2,2,119,Seebach,2,1256530,801665,454865,193152
2017,2,2,121,Saatlen,1,442127,240219,201908,131617
2017,2,2,121,Saatlen,2,137333,74965,62368,27818
2017,2,2,122,Schwamendingen-Mitte,1,277240,161040,116200,68338
2017,2,2,122,Schwamendingen-Mitte,2,470412,303829,166582,68591
2017,2,2,123,Hirzenbach,1,522096,235155,286941,164580
2017,2,2,123,Hirzenbach,2,386799,232392,154407,73041
2017,2,3,010,Kreis 1,1,169455,94698,74757,9566
2017,2,3,010,Kreis 1,2,287890,256417,31472,3146
2017,2,3,021,Wollishofen,1,466865,247005,219860,112727
2017,2,3,021,Wollishofen,2,1118676,581588,537089,263809
2017,2,3,023,Leimbach,1,239131,147683,91449,35854
2017,2,3,023,Leimbach,2,221606,118681,102924,39485
2017,2,3,024,Enge,1,92636,36045,56591,19386
2017,2,3,024,Enge,2,822448,506673,315776,102472
2017,2,3,031,Alt-Wiedikon,1,133778,69080,64698,15216
2017,2,3,031,Alt-Wiedikon,2,1333653,733500,600153,119603
2017,2,3,033,Friesenberg,1,463067,284717,178350,51054
2017,2,3,033,Friesenberg,2,202217,121971,80247,28911
2017,2,3,034,Sihlfeld,1,446085,265631,180453,55609
2017,2,3,034,Sihlfeld,2,1073384,645860,427525,88005
2017,2,3,041,Werd,1,106733,29390,77343,7735
2017,2,3,041,Werd,2,400000,170442,229559,36698
2017,2,3,042,Langstrasse,1,153184,74262,78923,9503
2017,2,3,042,Langstrasse,2,1045054,425025,620029,165811
2017,2,3,044,Hard,1,456379,244783,211596,62458
2017,2,3,044,Hard,2,508013,292153,215860,56111
2017,2,3,051,Gewerbeschule,1,322015,130343,191672,18444
2017,2,3,051,Gewerbeschule,2,565756,312853,252903,45144
2017,2,3,052,Escher Wyss,1,241376,18944,222431,118919
2017,2,3,052,Escher Wyss,2,978280,300343,677937,242058
2017,2,3,061,Unterstrass,1,567016,319163,247853,108939
2017,2,3,061,Unterstrass,2,1291651,707297,584353,176518
2017,2,3,063,Oberstrass,1,147507,89546,57962,23217
2017,2,3,063,Oberstrass,2,647995,495991,152004,51332
2017,2,3,071,Fluntern,1,73376,28825,44551,20409
2017,2,3,071,Fluntern,2,797812,532680,265133,108258
2017,2,3,072,Hottingen,1,89401,31413,57988,19763
2017,2,3,072,Hottingen,2,965889,636577,329312,87592
2017,2,3,073,Hirslanden,1,78843,49267,29577,10464
2017,2,3,073,Hirslanden,2,583054,359959,223095,69596
2017,2,3,074,Witikon,1,84410,39369,45041,34107
2017,2,3,074,Witikon,2,916328,570644,345685,239422
2017,2,3,081,Seefeld,1,55245,11219,44026,26982
2017,2,3,081,Seefeld,2,457976,293494,164482,35014
2017,2,3,082,Mühlebach,1,68539,31496,37043,7260
2017,2,3,082,Mühlebach,2,642663,312680,329983,50054
2017,2,3,083,Weinegg,1,105959,32702,73257,27626
2017,2,3,083,Weinegg,2,441864,246547,195318,71806
2017,2,3,091,Albisrieden,1,534983,341761,193223,105160
2017,2,3,091,Albisrieden,2,938697,695938,242759,93899
2017,2,3,092,Altstetten,1,676341,388888,287453,135087
2017,2,3,092,Altstetten,2,2149053,1048796,1100256,383323
2017,2,3,101,Höngg,1,371968,233023,138945,71046
2017,2,3,101,Höngg,2,1251985,959615,292370,123809
2017,2,3,102,Wipkingen,1,329710,185816,143894,52991
2017,2,3,102,Wipkingen,2,727254,543570,183684,52225
2017,2,3,111,Affoltern,1,623100,389883,233217,114906
2017,2,3,111,Affoltern,2,1084797,761678,323118,155691
2017,2,3,115,Oerlikon,1,500841,150081,350761,98909
2017,2,3,115,Oerlikon,2,1737045,895899,841146,301886
2017,2,3,119,Seebach,1,886247,277409,608838,324321
2017,2,3,119,Seebach,2,1723648,801729,921919,337357
2017,2,3,121,Saatlen,1,471716,240219,231497,148434
2017,2,3,121,Saatlen,2,165607,74965,90642,39078
2017,2,3,122,Schwamendingen-Mitte,1,299536,161040,138496,80271
2017,2,3,122,Schwamendingen-Mitte,2,518525,303829,214695,93160
2017,2,3,123,Hirzenbach,1,554872,235155,319716,178662
2017,2,3,123,Hirzenbach,2,415775,232392,183383,87309
2018,1,1,010,Kreis 1,1,95860,95002,858,427
2018,1,1,010,Kreis 1,2,254932,256819,-1887,-194
2018,1,1,021,Wollishofen,1,381947,256063,125884,65132
2018,1,1,021,Wollishofen,2,714549,587975,126574,71246
2018,1,1,023,Leimbach,1,183007,147714,35293,23345
2018,1,1,023,Leimbach,2,173230,118996,54234,22467
2018,1,1,024,Enge,1,57123,35547,21576,8087
2018,1,1,024,Enge,2,647107,520022,127084,38885
2018,1,1,031,Alt-Wiedikon,1,108709,70907,37803,9254
2018,1,1,031,Alt-Wiedikon,2,907205,738848,168357,47926
2018,1,1,033,Friesenberg,1,374138,266596,107542,59566
2018,1,1,033,Friesenberg,2,168103,138805,29298,18747
2018,1,1,034,Sihlfeld,1,364917,260186,104731,48398
2018,1,1,034,Sihlfeld,2,852758,658737,194021,44050
2018,1,1,041,Werd,1,60499,33078,27421,13391
2018,1,1,041,Werd,2,216847,174342,42505,7625
2018,1,1,042,Langstrasse,1,96189,73867,22322,1589
2018,1,1,042,Langstrasse,2,574075,444779,129296,23431
2018,1,1,044,Hard,1,394444,244783,149661,68372
2018,1,1,044,Hard,2,417300,298489,118812,26240
2018,1,1,051,Gewerbeschule,1,226656,130129,96527,18721
2018,1,1,051,Gewerbeschule,2,358281,313043,45238,11652
2018,1,1,052,Escher Wyss,1,54703,21823,32880,19891
